Tue Feb 23 02:55:51 EST 2021
kunlun oltp-randtabs.lua, write only, 1st run
sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 500
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 500, tps: 7898.45, reads: 0.00, writes: 33593.68, response time: 132.98ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 500, tps: 10290.51, reads: 0.00, writes: 40885.94, response time: 92.46ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 500, tps: 10724.03, reads: 0.00, writes: 43211.14, response time: 78.80ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 500, tps: 10594.10, reads: 0.00, writes: 42432.38, response time: 81.78ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 500, tps: 10384.92, reads: 0.00, writes: 41389.69, response time: 88.80ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 500, tps: 11082.00, reads: 0.00, writes: 44124.01, response time: 79.89ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 500, tps: 10795.98, reads: 0.00, writes: 43198.93, response time: 81.64ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 500, tps: 10731.99, reads: 0.00, writes: 42852.99, response time: 82.77ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 500, tps: 10810.12, reads: 0.00, writes: 43586.68, response time: 81.37ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 500, tps: 10447.79, reads: 0.00, writes: 41726.16, response time: 89.47ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 500, tps: 10575.14, reads: 0.00, writes: 42068.55, response time: 84.65ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 500, tps: 10430.08, reads: 0.00, writes: 42019.33, response time: 82.84ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 500, tps: 10200.97, reads: 0.00, writes: 40912.89, response time: 83.34ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 500, tps: 10669.00, reads: 0.00, writes: 42575.99, response time: 84.57ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 500, tps: 10466.99, reads: 0.00, writes: 41721.96, response time: 93.41ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 500, tps: 11031.03, reads: 0.00, writes: 43813.12, response time: 79.23ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 500, tps: 10849.12, reads: 0.00, writes: 43828.48, response time: 84.07ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 500, tps: 10815.87, reads: 0.00, writes: 43162.47, response time: 82.05ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 500, tps: 10576.02, reads: 0.00, writes: 42451.08, response time: 90.54ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 500, tps: 11026.90, reads: 0.00, writes: 44084.59, response time: 79.73ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 500, tps: 11073.05, reads: 0.00, writes: 43980.21, response time: 84.37ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 500, tps: 10705.04, reads: 0.00, writes: 43080.15, response time: 83.91ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 500, tps: 10479.97, reads: 0.00, writes: 41989.89, response time: 88.38ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 500, tps: 10532.04, reads: 0.00, writes: 42058.17, response time: 86.52ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 500, tps: 11337.02, reads: 0.00, writes: 45476.07, response time: 83.59ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 500, tps: 10865.93, reads: 0.00, writes: 43339.72, response time: 80.21ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 500, tps: 10029.03, reads: 0.00, writes: 39989.10, response time: 101.36ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 500, tps: 10975.01, reads: 0.00, writes: 43904.03, response time: 80.93ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 500, tps: 11064.00, reads: 0.00, writes: 44310.00, response time: 83.56ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 500, tps: 10940.96, reads: 0.00, writes: 43665.84, response time: 79.16ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 500, tps: 10882.99, reads: 0.00, writes: 43513.98, response time: 79.25ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 500, tps: 10904.04, reads: 0.00, writes: 43857.15, response time: 79.51ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 500, tps: 10824.00, reads: 0.00, writes: 43286.99, response time: 83.34ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 500, tps: 10557.08, reads: 0.00, writes: 42098.32, response time: 91.42ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 500, tps: 9429.98, reads: 0.00, writes: 38011.92, response time: 98.93ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 500, tps: 1274.00, reads: 0.00, writes: 5096.00, response time: 558.65ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 500, tps: 1324.00, reads: 0.00, writes: 5255.01, response time: 576.48ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 500, tps: 992.00, reads: 0.00, writes: 4008.99, response time: 722.88ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 500, tps: 1074.00, reads: 0.00, writes: 4292.02, response time: 677.42ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 500, tps: 1545.00, reads: 0.00, writes: 6179.98, response time: 552.66ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 500, tps: 1162.00, reads: 0.00, writes: 4650.01, response time: 616.28ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 500, tps: 881.01, reads: 0.00, writes: 3526.03, response time: 548.70ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 500, tps: 3706.95, reads: 0.00, writes: 14719.82, response time: 958.65ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 500, tps: 5755.01, reads: 0.00, writes: 23122.04, response time: 156.12ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 500, tps: 5860.98, reads: 0.00, writes: 23155.93, response time: 139.13ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 500, tps: 7917.98, reads: 0.00, writes: 31603.94, response time: 97.06ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 500, tps: 7473.03, reads: 0.00, writes: 30219.14, response time: 109.40ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 500, tps: 8273.97, reads: 0.00, writes: 33024.86, response time: 108.68ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 500, tps: 10883.94, reads: 0.00, writes: 43384.77, response time: 79.35ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 500, tps: 10814.97, reads: 0.00, writes: 43254.89, response time: 79.39ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 500, tps: 10043.05, reads: 0.00, writes: 39996.20, response time: 107.52ms (95%), errors: 0.00, reconnects:  0.00
[  75s] threads: 500, tps: 9932.03, reads: 0.00, writes: 40084.13, response time: 97.38ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 500, tps: 11382.90, reads: 0.00, writes: 45505.61, response time: 82.72ms (95%), errors: 0.00, reconnects:  0.00
[  77s] threads: 500, tps: 10968.06, reads: 0.00, writes: 43658.24, response time: 78.87ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 500, tps: 10974.02, reads: 0.00, writes: 44060.09, response time: 77.72ms (95%), errors: 0.00, reconnects:  0.00
[  79s] threads: 500, tps: 10526.01, reads: 0.00, writes: 42135.03, response time: 83.79ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 500, tps: 10864.00, reads: 0.00, writes: 43344.98, response time: 79.80ms (95%), errors: 0.00, reconnects:  0.00
[  81s] threads: 500, tps: 10280.92, reads: 0.00, writes: 41200.66, response time: 89.49ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 500, tps: 10631.04, reads: 0.00, writes: 42609.14, response time: 82.99ms (95%), errors: 0.00, reconnects:  0.00
[  83s] threads: 500, tps: 10109.10, reads: 0.00, writes: 40373.41, response time: 96.74ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 500, tps: 10990.92, reads: 0.00, writes: 43835.70, response time: 79.68ms (95%), errors: 0.00, reconnects:  0.00
[  85s] threads: 500, tps: 10764.04, reads: 0.00, writes: 43116.14, response time: 84.14ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 500, tps: 11261.93, reads: 0.00, writes: 45074.71, response time: 81.76ms (95%), errors: 0.00, reconnects:  0.00
[  87s] threads: 500, tps: 11233.07, reads: 0.00, writes: 44909.30, response time: 77.10ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 500, tps: 11270.96, reads: 0.00, writes: 44720.85, response time: 79.30ms (95%), errors: 0.00, reconnects:  0.00
[  89s] threads: 500, tps: 11229.98, reads: 0.00, writes: 45197.94, response time: 75.43ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 500, tps: 11100.02, reads: 0.00, writes: 44497.08, response time: 79.16ms (95%), errors: 0.00, reconnects:  0.00
[  91s] threads: 500, tps: 10605.00, reads: 0.00, writes: 42471.00, response time: 90.90ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 500, tps: 10640.00, reads: 0.00, writes: 42490.02, response time: 82.69ms (95%), errors: 0.00, reconnects:  0.00
[  93s] threads: 500, tps: 10923.00, reads: 0.00, writes: 43740.99, response time: 82.47ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 500, tps: 10307.99, reads: 0.00, writes: 41235.97, response time: 92.96ms (95%), errors: 0.00, reconnects:  0.00
[  95s] threads: 500, tps: 10822.01, reads: 0.00, writes: 43296.05, response time: 84.82ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 500, tps: 10584.02, reads: 0.00, writes: 42292.07, response time: 85.23ms (95%), errors: 0.00, reconnects:  0.00
[  97s] threads: 500, tps: 10343.97, reads: 0.00, writes: 41340.90, response time: 86.36ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 500, tps: 10453.01, reads: 0.00, writes: 41756.02, response time: 87.98ms (95%), errors: 0.00, reconnects:  0.00
[  99s] threads: 500, tps: 10853.02, reads: 0.00, writes: 43507.07, response time: 80.86ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 500, tps: 10081.98, reads: 0.00, writes: 40267.91, response time: 99.47ms (95%), errors: 0.00, reconnects:  0.00
[ 101s] threads: 500, tps: 10049.04, reads: 0.00, writes: 40080.16, response time: 96.30ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 500, tps: 10582.02, reads: 0.00, writes: 42498.07, response time: 85.59ms (95%), errors: 0.00, reconnects:  0.00
[ 103s] threads: 500, tps: 10705.00, reads: 0.00, writes: 42850.01, response time: 85.77ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 500, tps: 10366.01, reads: 0.00, writes: 41498.03, response time: 92.74ms (95%), errors: 0.00, reconnects:  0.00
[ 105s] threads: 500, tps: 10797.87, reads: 0.00, writes: 42999.49, response time: 87.87ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 500, tps: 10779.25, reads: 0.00, writes: 43361.99, response time: 84.55ms (95%), errors: 0.00, reconnects:  0.00
[ 107s] threads: 500, tps: 10361.00, reads: 0.00, writes: 41303.99, response time: 85.56ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 500, tps: 9871.86, reads: 0.00, writes: 39540.43, response time: 97.20ms (95%), errors: 0.00, reconnects:  0.00
[ 109s] threads: 500, tps: 11198.95, reads: 0.00, writes: 44695.80, response time: 76.87ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 500, tps: 10557.94, reads: 0.00, writes: 42037.74, response time: 90.63ms (95%), errors: 0.00, reconnects:  0.00
[ 111s] threads: 500, tps: 10486.14, reads: 0.00, writes: 42321.57, response time: 90.27ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 500, tps: 10590.95, reads: 0.00, writes: 42300.79, response time: 85.72ms (95%), errors: 0.00, reconnects:  0.00
[ 113s] threads: 500, tps: 10632.97, reads: 0.00, writes: 42257.90, response time: 83.54ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 500, tps: 10240.08, reads: 0.00, writes: 41298.33, response time: 90.08ms (95%), errors: 0.00, reconnects:  0.00
[ 115s] threads: 500, tps: 10731.97, reads: 0.00, writes: 42937.88, response time: 79.28ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 500, tps: 10372.01, reads: 0.00, writes: 41546.06, response time: 97.20ms (95%), errors: 0.00, reconnects:  0.00
[ 117s] threads: 500, tps: 10685.00, reads: 0.00, writes: 42646.99, response time: 83.26ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 500, tps: 10578.93, reads: 0.00, writes: 42335.71, response time: 87.90ms (95%), errors: 0.00, reconnects:  0.00
[ 119s] threads: 500, tps: 10322.01, reads: 0.00, writes: 41051.05, response time: 103.51ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 500, tps: 10980.07, reads: 0.00, writes: 44139.29, response time: 79.47ms (95%), errors: 0.00, reconnects:  0.00
[ 121s] threads: 500, tps: 10567.98, reads: 0.00, writes: 42172.92, response time: 84.12ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 500, tps: 10664.95, reads: 0.00, writes: 42599.80, response time: 91.31ms (95%), errors: 0.00, reconnects:  0.00
[ 123s] threads: 500, tps: 10475.00, reads: 0.00, writes: 41945.00, response time: 86.36ms (95%), errors: 0.00, reconnects:  0.00
[ 124s] threads: 500, tps: 10779.00, reads: 0.00, writes: 42922.01, response time: 80.95ms (95%), errors: 0.00, reconnects:  0.00
[ 125s] threads: 500, tps: 10214.01, reads: 0.00, writes: 40743.04, response time: 104.69ms (95%), errors: 0.00, reconnects:  0.00
[ 126s] threads: 500, tps: 10729.01, reads: 0.00, writes: 43313.05, response time: 81.00ms (95%), errors: 0.00, reconnects:  0.00
[ 127s] threads: 500, tps: 10916.97, reads: 0.00, writes: 43278.87, response time: 81.08ms (95%), errors: 0.00, reconnects:  0.00
[ 128s] threads: 500, tps: 10855.01, reads: 0.00, writes: 43667.02, response time: 85.28ms (95%), errors: 0.00, reconnects:  0.00
[ 129s] threads: 500, tps: 10754.02, reads: 0.00, writes: 43177.09, response time: 84.85ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 500, tps: 10612.01, reads: 0.00, writes: 42423.03, response time: 84.93ms (95%), errors: 0.00, reconnects:  0.00
[ 131s] threads: 500, tps: 10820.97, reads: 0.00, writes: 43215.86, response time: 86.36ms (95%), errors: 0.00, reconnects:  0.00
[ 132s] threads: 500, tps: 10531.97, reads: 0.00, writes: 41906.88, response time: 83.59ms (95%), errors: 0.00, reconnects:  0.00
[ 133s] threads: 500, tps: 9831.09, reads: 0.00, writes: 39617.36, response time: 102.00ms (95%), errors: 0.00, reconnects:  0.00
[ 134s] threads: 500, tps: 9149.97, reads: 0.00, writes: 36517.88, response time: 83.84ms (95%), errors: 0.00, reconnects:  0.00
[ 135s] threads: 500, tps: 11126.45, reads: 0.00, writes: 44459.82, response time: 98.20ms (95%), errors: 0.00, reconnects:  0.00
[ 136s] threads: 500, tps: 10857.54, reads: 0.00, writes: 43563.19, response time: 81.73ms (95%), errors: 0.00, reconnects:  0.00
[ 137s] threads: 500, tps: 8830.93, reads: 0.00, writes: 35188.72, response time: 211.93ms (95%), errors: 0.00, reconnects:  0.00
[ 138s] threads: 500, tps: 6240.01, reads: 0.00, writes: 25213.04, response time: 102.80ms (95%), errors: 0.00, reconnects:  0.00
[ 139s] threads: 500, tps: 1814.01, reads: 0.00, writes: 6450.03, response time: 504.29ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 500, tps: 1068.00, reads: 0.00, writes: 5082.01, response time: 956.36ms (95%), errors: 0.00, reconnects:  0.00
[ 141s] threads: 500, tps: 643.00, reads: 0.00, writes: 2466.00, response time: 1185.66ms (95%), errors: 0.00, reconnects:  0.00
[ 142s] threads: 500, tps: 1078.01, reads: 0.00, writes: 4421.03, response time: 776.73ms (95%), errors: 0.00, reconnects:  0.00
[ 143s] threads: 500, tps: 1511.00, reads: 0.00, writes: 6039.98, response time: 660.01ms (95%), errors: 0.00, reconnects:  0.00
[ 144s] threads: 500, tps: 1596.99, reads: 0.00, writes: 6233.97, response time: 522.42ms (95%), errors: 0.00, reconnects:  0.00
[ 145s] threads: 500, tps: 1820.00, reads: 0.00, writes: 7277.99, response time: 506.40ms (95%), errors: 0.00, reconnects:  0.00
[ 146s] threads: 500, tps: 1588.99, reads: 0.00, writes: 5854.98, response time: 513.73ms (95%), errors: 0.00, reconnects:  0.00
[ 147s] threads: 500, tps: 1398.00, reads: 0.00, writes: 5849.99, response time: 513.12ms (95%), errors: 0.00, reconnects:  0.00
[ 148s] threads: 500, tps: 1521.00, reads: 0.00, writes: 6166.02, response time: 516.35ms (95%), errors: 0.00, reconnects:  0.00
[ 149s] threads: 500, tps: 1386.05, reads: 0.00, writes: 5620.21, response time: 518.21ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 500, tps: 1420.95, reads: 0.00, writes: 5928.80, response time: 531.57ms (95%), errors: 0.00, reconnects:  0.00
[ 151s] threads: 500, tps: 1546.01, reads: 0.00, writes: 6184.03, response time: 525.71ms (95%), errors: 0.00, reconnects:  0.00
[ 152s] threads: 500, tps: 1679.99, reads: 0.00, writes: 6717.98, response time: 528.71ms (95%), errors: 0.00, reconnects:  0.00
[ 153s] threads: 500, tps: 1498.01, reads: 0.00, writes: 5994.02, response time: 515.43ms (95%), errors: 0.00, reconnects:  0.00
[ 154s] threads: 500, tps: 1574.00, reads: 0.00, writes: 6290.98, response time: 522.89ms (95%), errors: 0.00, reconnects:  0.00
[ 155s] threads: 500, tps: 2165.00, reads: 0.00, writes: 8665.00, response time: 508.23ms (95%), errors: 0.00, reconnects:  0.00
[ 156s] threads: 500, tps: 1557.00, reads: 0.00, writes: 6224.99, response time: 519.14ms (95%), errors: 0.00, reconnects:  0.00
[ 157s] threads: 500, tps: 1547.00, reads: 0.00, writes: 6186.98, response time: 516.66ms (95%), errors: 0.00, reconnects:  0.00
[ 158s] threads: 500, tps: 1487.00, reads: 0.00, writes: 5942.00, response time: 517.75ms (95%), errors: 0.00, reconnects:  0.00
[ 159s] threads: 500, tps: 2536.01, reads: 0.00, writes: 10154.02, response time: 766.79ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 500, tps: 2317.98, reads: 0.00, writes: 8845.91, response time: 1047.78ms (95%), errors: 0.00, reconnects:  0.00
[ 161s] threads: 500, tps: 10363.07, reads: 0.00, writes: 41860.29, response time: 85.18ms (95%), errors: 0.00, reconnects:  0.00
[ 162s] threads: 500, tps: 10860.92, reads: 0.00, writes: 43276.68, response time: 86.91ms (95%), errors: 0.00, reconnects:  0.00
[ 163s] threads: 500, tps: 11363.05, reads: 0.00, writes: 45502.22, response time: 76.66ms (95%), errors: 0.00, reconnects:  0.00
[ 164s] threads: 500, tps: 11199.93, reads: 0.00, writes: 44641.72, response time: 79.92ms (95%), errors: 0.00, reconnects:  0.00
[ 165s] threads: 500, tps: 11248.10, reads: 0.00, writes: 45202.38, response time: 76.46ms (95%), errors: 0.00, reconnects:  0.00
[ 166s] threads: 500, tps: 11123.02, reads: 0.00, writes: 44451.09, response time: 79.11ms (95%), errors: 0.00, reconnects:  0.00
[ 167s] threads: 500, tps: 11375.92, reads: 0.00, writes: 45393.66, response time: 79.13ms (95%), errors: 0.00, reconnects:  0.00
[ 168s] threads: 500, tps: 10977.71, reads: 0.00, writes: 44066.82, response time: 80.98ms (95%), errors: 0.00, reconnects:  0.00
[ 169s] threads: 500, tps: 10343.16, reads: 0.00, writes: 41200.63, response time: 89.68ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 500, tps: 10862.15, reads: 0.00, writes: 43650.59, response time: 78.90ms (95%), errors: 0.00, reconnects:  0.00
[ 171s] threads: 500, tps: 10797.95, reads: 0.00, writes: 42995.81, response time: 86.91ms (95%), errors: 0.00, reconnects:  0.00
[ 172s] threads: 500, tps: 11144.96, reads: 0.00, writes: 44624.85, response time: 78.94ms (95%), errors: 0.00, reconnects:  0.00
[ 173s] threads: 500, tps: 11415.05, reads: 0.00, writes: 45732.19, response time: 76.82ms (95%), errors: 0.00, reconnects:  0.00
[ 174s] threads: 500, tps: 11371.93, reads: 0.00, writes: 45528.74, response time: 76.87ms (95%), errors: 0.00, reconnects:  0.00
[ 175s] threads: 500, tps: 11198.02, reads: 0.00, writes: 44836.10, response time: 77.91ms (95%), errors: 0.00, reconnects:  0.00
[ 176s] threads: 500, tps: 10852.05, reads: 0.00, writes: 43390.21, response time: 81.68ms (95%), errors: 0.00, reconnects:  0.00
[ 177s] threads: 500, tps: 10698.60, reads: 0.00, writes: 42701.39, response time: 94.93ms (95%), errors: 0.00, reconnects:  0.00
[ 178s] threads: 500, tps: 10880.37, reads: 0.00, writes: 43406.48, response time: 81.93ms (95%), errors: 0.00, reconnects:  0.00
[ 179s] threads: 500, tps: 10836.98, reads: 0.00, writes: 43380.94, response time: 85.90ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 500, tps: 11229.14, reads: 0.00, writes: 45151.56, response time: 75.86ms (95%), errors: 0.00, reconnects:  0.00
[ 181s] threads: 500, tps: 11042.84, reads: 0.00, writes: 43965.35, response time: 88.06ms (95%), errors: 0.00, reconnects:  0.00
[ 182s] threads: 500, tps: 11034.88, reads: 0.00, writes: 44144.52, response time: 79.97ms (95%), errors: 0.00, reconnects:  0.00
[ 183s] threads: 500, tps: 11227.17, reads: 0.00, writes: 44657.66, response time: 73.87ms (95%), errors: 0.00, reconnects:  0.00
[ 184s] threads: 500, tps: 11385.73, reads: 0.00, writes: 45831.90, response time: 75.18ms (95%), errors: 0.00, reconnects:  0.00
[ 185s] threads: 500, tps: 10632.21, reads: 0.00, writes: 42191.84, response time: 90.35ms (95%), errors: 0.00, reconnects:  0.00
[ 186s] threads: 500, tps: 11120.83, reads: 0.00, writes: 44974.18, response time: 78.83ms (95%), errors: 0.00, reconnects:  0.00
[ 187s] threads: 500, tps: 11122.14, reads: 0.00, writes: 44197.50, response time: 79.78ms (95%), errors: 0.00, reconnects:  0.00
[ 188s] threads: 500, tps: 11062.07, reads: 0.00, writes: 44414.27, response time: 80.57ms (95%), errors: 0.00, reconnects:  0.00
[ 189s] threads: 500, tps: 10741.00, reads: 0.00, writes: 42785.99, response time: 81.17ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 500, tps: 10612.98, reads: 0.00, writes: 42346.93, response time: 94.62ms (95%), errors: 0.00, reconnects:  0.00
[ 191s] threads: 500, tps: 11207.88, reads: 0.00, writes: 44934.54, response time: 75.86ms (95%), errors: 0.00, reconnects:  0.00
[ 192s] threads: 500, tps: 11218.10, reads: 0.00, writes: 45001.41, response time: 77.33ms (95%), errors: 0.00, reconnects:  0.00
[ 193s] threads: 500, tps: 10601.07, reads: 0.00, writes: 42410.30, response time: 86.54ms (95%), errors: 0.00, reconnects:  0.00
[ 194s] threads: 500, tps: 9587.01, reads: 0.00, writes: 38527.05, response time: 77.49ms (95%), errors: 0.00, reconnects:  0.00
[ 195s] threads: 500, tps: 10912.76, reads: 0.00, writes: 43208.05, response time: 113.67ms (95%), errors: 0.00, reconnects:  0.00
[ 196s] threads: 500, tps: 11097.19, reads: 0.00, writes: 44697.78, response time: 79.92ms (95%), errors: 0.00, reconnects:  0.00
[ 197s] threads: 500, tps: 10946.00, reads: 0.00, writes: 43761.01, response time: 79.78ms (95%), errors: 0.00, reconnects:  0.00
[ 198s] threads: 500, tps: 11121.96, reads: 0.00, writes: 44458.83, response time: 81.03ms (95%), errors: 0.00, reconnects:  0.00
[ 199s] threads: 500, tps: 10893.01, reads: 0.00, writes: 43430.03, response time: 83.04ms (95%), errors: 0.00, reconnects:  0.00
